hour,indoor_temp,cooling_setpoint,outdoor_temp,outdoor_temp_predicted,cooling_demand,elec_price,carbon_intensity,solar_generation,occupant_count,electrical_storage_soc,dhw_storage_soc,dhw_demand,cooling_device,dhw_storage,electrical_storage,reward
1,23.098651885986328,23.222221,24.66,24.9106388092041,1.1192156,0.028929999098181725,0.4024883508682251,0.0,3.0,0.2,0.0,0.055682074,0.1,0.7,0.5,-0.12356948852539062
2,22.234743118286133,22.222221,24.07,27.076562881469727,1.4696382,0.028929999098181725,0.38262462615966797,0.0,3.0,0.0,0.0,0.15933841,0.1,0.7,0.6,0.0
3,22.223060607910156,22.222221,23.9,29.35183334350586,1.4583724,0.028929999098181725,0.36945828795433044,0.0,3.0,0.0,0.0,0.057004254,0.1,0.7,0.6,0.0
4,22.22224998474121,22.222221,23.87,31.032974243164062,1.3373424,0.028929999098181725,0.36701688170433044,0.0,3.0,0.0,0.0,0.0,0.1,0.7,0.6,0.0
5,22.22223663330078,22.222221,23.83,33.81446838378906,1.1634532,0.028929999098181725,0.3740399181842804,0.0,3.0,0.0,0.0,0.0,0.1,0.7,0.6,0.0
6,22.22223663330078,22.222221,23.85,36.44267272949219,1.3357149,0.028929999098181725,0.38520413637161255,0.0,3.0,0.0,0.0,0.33483398,0.1,-0.01,0.6,0.0
7,22.222230911254883,22.222221,24.98,36.919559478759766,1.2389414,0.028929999098181725,0.3954150080680847,0.0607952362060547,2.0,0.0,0.0,0.9058187,0.1,-0.01,0.6,0.0
8,22.332555770874023,22.333334,26.94,38.97854232788086,1.319662,0.02914999984204769,0.4111834764480591,0.2191260864257813,2.0,0.0,0.0,0.0,0.1,-0.01,0.0,-0.0007781982421875
9,22.77179718017578,22.777779,29.3,39.55098342895508,4.0250163,0.02914999984204769,0.4328323006629944,0.5327400512695314,2.0,0.0,0.0,3.3150163,0.1,-0.01,0.0,-0.0059814453125
10,23.266788482666016,23.333334,31.66,39.498924255371094,2.458844,0.02914999984204769,0.4284854531288147,0.9639457763671876,1.0,0.0,0.0,0.21539555,0.1,0.8,0.0,-0.06654548645019531
11,24.406890869140625,24.444445,33.87,40.08525466918945,1.6538339,0.02914999984204769,0.4575992524623871,1.355784814453125,1.0,0.0,0.0,0.0,0.1,0.8,0.9,-0.03755378723144531
12,24.444318771362305,24.444445,35.9,37.527286529541016,3.2172143,0.02914999984204769,0.4874681830406189,1.6054357910156252,1.0,0.0,0.0,1.6562988,0.2,0.8,0.9,-0.000125885009765625
13,24.44445037841797,24.444445,37.51,36.916812896728516,3.0492523,0.02914999984204769,0.49153634905815125,1.6411171875000001,1.0,0.0,0.0,0.2264962,0.2,0.8,0.9,0.0
14,24.4444522857666,24.444445,38.69,32.41205596923828,3.5096958,0.02914999984204769,0.4876479208469391,1.6491804199218751,0.0,0.0,0.0,0.0,0.2,0.8,0.9,-2.3191593730334716
15,24.4444580078125,24.444445,39.3,30.835533142089844,4.31503,0.02914999984204769,0.479716032743454,1.54800966796875,0.0,0.0,0.0,0.22648923,0.2,0.8,0.9,-4.74588379036868
16,24.444454193115234,24.444445,39.53,30.552141189575195,6.009754,0.05866999924182892,0.47150129079818726,1.3278533203125003,1.0,0.0,0.0,1.0209699,0.2,0.4,0.6,-8.558611138505512
17,23.58162498474121,23.555555,39.16,28.479679107666016,7.337235,0.05866999924182892,0.4600435197353363,1.0113387451171876,0.0,0.0,0.0,0.4529948,0.2,0.7,0.6,-17.638420292936644
18,25.53244972229004,25.555555,38.12,26.891977310180664,4.635886,0.05866999924182892,0.44940948486328125,0.5935589355468751,2.0,0.0,0.0,0.0,0.1,-0.01,0.0,-12.405245313133491
19,26.459463119506836,26.5,36.11,24.893062591552734,2.425167,0.02914999984204769,0.4388800859451294,0.16157204589843752,3.0,0.0,0.0,0.0,0.1,-0.01,0.0,-8.229932299946086
20,24.512662887573242,24.444445,32.61,26.027912139892578,3.6458,0.02914999984204769,0.4360905885696411,0.0,3.0,0.0,0.0,0.45299163,0.1,-0.01,0.0,-21.869155745753233
21,21.815444946289062,21.666666,31.19,23.88933753967285,8.104759,0.02914999984204769,0.44039642810821533,0.0,2.0,0.0,0.0,0.0,0.1,-0.01,0.0,-52.678472521951335
22,24.361370086669922,24.444445,29.6,24.212108612060547,2.9250584,0.02914999984204769,0.447145938873291,0.0,2.0,0.0,0.0,0.4529954,0.1,-0.01,0.6,-16.32834286545767
23,22.88100814819336,22.833334,28.04,23.86545181274414,3.1341848,0.028929999098181725,0.4496636390686035,0.0,2.0,0.0,0.0,0.0,0.1,0.7,0.6,-28.853114867248223
24,20.81880760192871,20.722221,26.8,25.31902313232422,6.387691,0.028929999098181725,0.4430617690086365,0.0,2.0,0.0,0.0,0.0,0.1,0.7,0.6,-50.28984966351709
1,20.55874252319336,20.555555,25.85,24.826820373535156,6.112397,0.028929999098181725,0.43100208044052124,0.0,2.0,0.0,0.0,0.0,0.1,0.7,0.6,-44.943571194835386
2,21.59804344177246,21.666666,25.19,28.00714111328125,3.2023733,0.028929999098181725,0.39826324582099915,0.0,2.0,0.0,0.0,0.0,0.1,0.7,0.6,-24.829792801032454
3,22.219463348388672,22.222221,24.85,28.57555389404297,1.6611965,0.028929999098181725,0.38313132524490356,0.0,2.0,0.0,0.0,0.0,0.1,0.7,0.6,-14.888003880681936
4,22.222187042236328,22.222221,24.76,31.37348747253418,1.3634886,0.028929999098181725,0.37263354659080505,0.0,2.0,0.0,0.0,0.0,0.1,0.7,0.6,-11.423582039788016
5,22.222230911254883,22.222221,24.75,34.88600158691406,1.5253298,0.028929999098181725,0.3710111677646637,0.0,3.0,0.0,0.0,0.0,0.1,0.7,0.6,-9.414197202204377
6,22.222021102905273,22.222221,24.69,36.86639404296875,1.6484553,0.028929999098181725,0.36689993739128113,0.0,3.0,0.0,0.0,0.0,0.1,-0.01,0.6,-7.810778013023082
